1 Nephi 19:23,And I did read many things unto them which were written in the books of Moses; but that I might more fully persuade them to believe in the Lord their Redeemer I did read unto them that which was written by the prophet Isaiah; for I did liken all scriptures unto us, that it might be for our profit and learning.
Proverbs 3:5-6,Trust in the Lord with all thine heart; and lean not unto thine own understanding. In all thy ways acknowledge him, and he shall direct thy paths.
John 3:16,For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.
